"province.name","year","province.code","iso.subdivisioncode","indec.prov.code","area","date.gov","date.gov2","pres.election","legis.election","senate.election","house.election","gov.name","gov.lastname","gov.firstname","gov.born","ltgov.lastname","ltgov.firstname","gov.party","gov.party.acronym","female_gov","female_ltgov","interrupted","gov.died","tenure.began","tenure.ended","tenure.expected","runner.up","winner.pct.1","runner.up.pct.1","margin.1","enp.gov.1","enp.gov.change","winner.pct.2","runner.up.pct.2","margin.2","enp.gov.2","incumbent","govelecrule","gov.minvotes","gov.altrule","gov.dsv","govelecrule_annotation","assembly.type","house.size","house.cycle","senate.size","senate.cycle","pj_Pres.votes.pct","pj.all_Pres.votes.pct","natHouse.seats","natHouse.magnitude","gdp.growth","gdp.growth_lag","gdp.growth_tenure","inflation","inflation_lag","inflation_tenure"
"BUENOS AIRES",1983,102,"AR-B",6,307581.7,1983-10-30,NA,1,1,1,1,"ALEJANDRO ARMENDARIZ","ARMENDARIZ","ALEJANDRO",1923,"BARREIRO DE ROULET","ELVA PILAR","UNION CIVICA RADICAL","UCR",0,1,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",51.9796582379392,39.7253272838526,12.2543309540867,2.32560546640666,-0.642910882936763,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","BICAMERAL",92,"PARTIAL",46,"PARTIAL",42.22819,42.22819,70,70,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"CATAMARCA",1983,103,"AR-K",10,102098.9,1983-10-30,NA,1,1,1,1,"RAMON SAADI","SAADI","RAMON",1949,"MORAN","RODOLFO","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",39.7191412386347,36.0584567049079,3.66068453372685,3.15544368412752,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","BICAMERAL",33,"PARTIAL",16,"PARTIAL",43.64559,43.64559,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"CORDOBA",1983,104,"AR-X",14,165330,1983-10-30,NA,1,1,1,1,"EDUARDO ANGELOZ","ANGELOZ","EDUARDO",1931,"GROSSO","EDGARDO","UNION CIVICA RADICAL","UCR",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",55.8423993913174,39.2219504376878,16.6204489536295,2.14501786793661,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","BICAMERAL",36,"TOTAL",26,"PARTIAL",39.91616,39.91616,18,18,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"CORRIENTES",1983,105,"AR-W",18,87810.5,1983-10-30,NA,1,1,1,1,"JOSE ANTONIO ROMERO FERIS","ROMERO FERIS","JOSE ANTONIO",1941,"GARCIA ENCISO","JOSE MARIA","PACTO AUTONOMISTA LIBERAL","PAL",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",46.6068405419897,22.9378663822968,23.668974159693,3.17336933940055,0.176188108859259,NA,NA,NA,NA,0,"ELECTORAL COLLEGE",NA,NA,0,"absolute majority in Electoral College","BICAMERAL",26,"PARTIAL",13,"THIRDS",28.3819,28.3819,7,7,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"CHACO",1983,106,"AR-H",22,99560.1,1983-10-30,NA,1,1,0,1,"FLORENCIO TENEV","TENEV","FLORENCIO",1929,"TORRESAGASTI","ALBERTO SILVESTRE","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",47.3235821961546,46.1968446506448,1.12673754550985,2.28082584787317,-0.124481593944572,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",30,"PARTIAL",-88,".",47.98386,47.98386,7,7,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"CHUBUT",1983,107,"AR-U",26,221388.7,1983-10-30,NA,1,1,0,1,"ATILIO VIGLIONE","VIGLIONE","ATILIO",1914,"ALTUNA","JUAN CARLOS","UNION CIVICA RADICAL","UCR",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",40.0338842528342,39.3607050808356,0.673179171998626,2.97899057711418,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",27,"TOTAL",-88,".",41.46115,41.46115,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"ENTRE RIOS",1983,108,"AR-E",30,78787.2,1983-10-30,NA,1,1,1,1,"SERGIO MONTIEL","MONTIEL","SERGIO",1927,"MARINEZ","GARBINO J.","UNION CIVICA RADICAL","UCR",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",49.3893742995706,40.9266991302278,8.46267516934277,2.41902040208728,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","BICAMERAL",28,"TOTAL",15,"TOTAL",44.21309,44.21309,9,9,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"FORMOSA",1983,109,"AR-P",34,71639.5,1983-10-30,NA,1,1,0,1,"FLORO BOGADO","BOGADO","FLORO",1939,"RIVIRA","LISBEL","JUSTICIALISTA","PJ",0,1,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",42.8546641328596,27.5824175824176,15.272246550442,3.16803775931312,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",30,"PARTIAL",-88,".",45.11651,45.11651,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"JUJUY",1983,110,"AR-Y",38,53037.3,1983-10-30,NA,1,1,0,1,"CARLOS SNOPEK","SNOPEK","CARLOS",1914,"CABANA","FERNANDO","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",46.7531490664183,25.8596647553362,20.8934843110821,2.96947417058524,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",30,"PARTIAL",-88,".",48.72493,48.72493,6,6,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"LA PAMPA",1983,111,"AR-L",42,145133.2,1983-10-30,NA,1,1,0,1,"RUBEN MARIN","MARIN","RUBEN",1934,"BALADRON","MANUEL","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",40.777979500289,31.9943662430494,8.78361325723962,3.21771674965784,0.737453404968188,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",21,"TOTAL",-88,".",40.87992,40.87992,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"LA RIOJA",1983,112,"AR-F",46,90303,1983-10-30,NA,1,1,0,1,"CARLOS SAUL MENEM","MENEM","CARLOS SAUL",1930,"CAVERO","ALBERTO GREGORIO","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",56.5109794743738,39.8698811910014,16.6410982833723,2.08849803768149,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",-99,"PARTIAL",-88,".",55.52309,55.52309,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"MENDOZA",1983,113,"AR-M",50,148651.9,1983-10-30,NA,1,1,1,1,"SANTIAGO FELIPE LLAVER","LLAVER","SANTIAGO FELIPE",1916,"GENOUD","JOSE","UNION CIVICA RADICAL","UCR",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",47.0813751388253,36.0275893658273,11.0537857729979,2.70896921500985,-99,NA,NA,NA,NA,0,"ELECTORAL COLLEGE",NA,NA,0,"absolute majority in Electoral College","BICAMERAL",48,"PARTIAL",38,"PARTIAL",36.56076,36.56076,10,10,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"MISIONES",1983,114,"AR-N",54,29758.7,1983-10-30,NA,1,1,0,1,"RICARDO BARRIOS ARRECHEA","BARRIOS ARRECHEA","RICARDO",1934,"CASSONI","LUIS MARIA","UNION CIVICA RADICAL","UCR",0,0,1,0,1983-12-10,1987-09-16,1987-12-10,"JUSTICIALISTA",50.0002085897249,47.3999290794935,2.60027951023132,2.1052249230596,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",40,"PARTIAL",-88,".",47.79471,47.79471,7,7,3.875123424,-4.957178519,1.26999680818923,343.8106763,164.7768106,398.898020552293
"NEUQUEN",1983,115,"AR-Q",58,93396.4,1983-10-30,NA,1,1,0,1,"FELIPE SAPAG","SAPAG","FELIPE",1917,"FORNI","HORACIO","MOVIMIENTO POPULAR NEUQUINO","MPN",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",55.2573536225974,22.6243211684244,32.6330324541731,2.51953327553747,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",25,"TOTAL",-88,".",22.20022,22.20022,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"RIO NEGRO",1983,116,"AR-R",62,206174.8,1983-10-30,NA,1,1,0,1,"OSVALDO ALVAREZ GUERRERO","ALVAREZ GUERRERO","OSVALDO",1940,".",".","UNION CIVICA RADICAL","UCR",0,9,0,0,1983-12-10,1987-12-10,1987-12-10,"JUSTICIALISTA",52.6890868342359,36.9056613356867,15.7834254985493,2.40524778740117,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","UNICAMERAL",36,"TOTAL",-88,".",39.9406,39.9406,5,5,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
"SALTA",1983,117,"AR-A",66,155702.8,1983-10-30,NA,1,1,1,1,"ROBERTO ROMERO","ROMERO","ROBERTO",1926,"FIGUEROA","JAIME","JUSTICIALISTA","PJ",0,0,0,0,1983-12-10,1987-12-10,1987-12-10,"UNION CIVICA RADICAL",50.672400234917,26.8970048078359,23.7753954270812,2.78570489115305,-99,NA,NA,NA,NA,0,"PLURALITY",NA,NA,0,".","BICAMERAL",132,"PARTIAL",23,"PARTIAL",45.27385,45.27385,7,7,3.875123424,-4.957178519,1.36554148772241,343.8106763,164.7768106,383.309579865559
